model,all,ace_Latn,ach_Latn,acr_Latn,afr_Latn,agw_Latn,ahk_Latn,aka_Latn,aln_Latn,als_Latn,alt_Cyrl,alz_Latn,amh_Ethi,aoj_Latn,arb_Arab,arn_Latn,ary_Arab,arz_Arab,asm_Beng,ayr_Latn,azb_Arab,aze_Latn,bak_Cyrl,bam_Latn,ban_Latn,bar_Latn,bba_Latn,bbc_Latn,bci_Latn,bcl_Latn,bel_Cyrl,bem_Latn,ben_Beng,bhw_Latn,bim_Latn,bis_Latn,bod_Tibt,bqc_Latn,bre_Latn,bts_Latn,btx_Latn,bul_Cyrl,bum_Latn,bzj_Latn,cab_Latn,cac_Latn,cak_Latn,caq_Latn,cat_Latn,cbk_Latn,cce_Latn,ceb_Latn,ces_Latn,cfm_Latn,che_Cyrl,chk_Latn,chv_Cyrl,ckb_Arab,cmn_Hani,cnh_Latn,crh_Cyrl,crs_Latn,csy_Latn,ctd_Latn,ctu_Latn,cuk_Latn,cym_Latn,dan_Latn,deu_Latn,djk_Latn,dln_Latn,dtp_Latn,dyu_Latn,dzo_Tibt,efi_Latn,ell_Grek,eng_Latn,enm_Latn,epo_Latn,est_Latn,eus_Latn,ewe_Latn,fao_Latn,fas_Arab,fij_Latn,fil_Latn,fin_Latn,fon_Latn,fra_Latn,fry_Latn,gaa_Latn,gil_Latn,giz_Latn,gkn_Latn,gkp_Latn,gla_Latn,gle_Latn,glv_Latn,gom_Latn,gor_Latn,grc_Grek,guc_Latn,gug_Latn,guj_Gujr,gur_Latn,guw_Latn,gya_Latn,gym_Latn,hat_Latn,hau_Latn,haw_Latn,heb_Hebr,hif_Latn,hil_Latn,hin_Deva,hin_Latn,hmo_Latn,hne_Deva,hnj_Latn,hra_Latn,hrv_Latn,hui_Latn,hun_Latn,hus_Latn,hye_Armn,iba_Latn,ibo_Latn,ifa_Latn,ifb_Latn,ikk_Latn,ilo_Latn,ind_Latn,isl_Latn,ita_Latn,ium_Latn,ixl_Latn,izz_Latn,jam_Latn,jav_Latn,jpn_Jpan,kaa_Cyrl,kaa_Latn,kab_Latn,kac_Latn,kal_Latn,kan_Knda,kat_Geor,kaz_Cyrl,kbp_Latn,kek_Latn,khm_Khmr,kia_Latn,kik_Latn,kin_Latn,kir_Cyrl,kjb_Latn,kjh_Cyrl,kmm_Latn,kmr_Cyrl,kmr_Latn,knv_Latn,kor_Hang,kpg_Latn,krc_Cyrl,kri_Latn,ksd_Latn,kss_Latn,ksw_Mymr,kua_Latn,lam_Latn,lao_Laoo,lat_Latn,lav_Latn,ldi_Latn,leh_Latn,lhu_Latn,lin_Latn,lit_Latn,loz_Latn,ltz_Latn,lug_Latn,luo_Latn,lus_Latn,lzh_Hani,mad_Latn,mah_Latn,mai_Deva,mal_Mlym,mam_Latn,mar_Deva,mau_Latn,mbb_Latn,mck_Latn,mcn_Latn,mco_Latn,mdy_Ethi,meu_Latn,mfe_Latn,mgh_Latn,mgr_Latn,mhr_Cyrl,min_Latn,miq_Latn,mkd_Cyrl,mlg_Latn,mlt_Latn,mos_Latn,mps_Latn,mri_Latn,mrw_Latn,msa_Latn,mwm_Latn,mxv_Latn,mya_Mymr,myv_Cyrl,mzh_Latn,nan_Latn,naq_Latn,nav_Latn,nbl_Latn,nch_Latn,ncj_Latn,ndc_Latn,nde_Latn,ndo_Latn,nds_Latn,nep_Deva,ngu_Latn,nia_Latn,nld_Latn,nmf_Latn,nnb_Latn,nno_Latn,nob_Latn,nor_Latn,npi_Deva,nse_Latn,nso_Latn,nya_Latn,nyn_Latn,nyy_Latn,nzi_Latn,ori_Orya,ory_Orya,oss_Cyrl,ote_Latn,pag_Latn,pam_Latn,pan_Guru,pap_Latn,pau_Latn,pcm_Latn,pdt_Latn,pes_Arab,pis_Latn,pls_Latn,plt_Latn,poh_Latn,pol_Latn,pon_Latn,por_Latn,prk_Latn,prs_Arab,pxm_Latn,qub_Latn,quc_Latn,qug_Latn,quh_Latn,quw_Latn,quy_Latn,quz_Latn,qvi_Latn,rap_Latn,rar_Latn,rmy_Latn,ron_Latn,rop_Latn,rug_Latn,run_Latn,rus_Cyrl,sag_Latn,sah_Cyrl,san_Deva,san_Latn,sba_Latn,seh_Latn,sin_Sinh,slk_Latn,slv_Latn,sme_Latn,smo_Latn,sna_Latn,snd_Arab,som_Latn,sop_Latn,sot_Latn,spa_Latn,sqi_Latn,srm_Latn,srn_Latn,srp_Cyrl,srp_Latn,ssw_Latn,sun_Latn,suz_Deva,swe_Latn,swh_Latn,sxn_Latn,tam_Taml,tat_Cyrl,tbz_Latn,tca_Latn,tdt_Latn,tel_Telu,teo_Latn,tgk_Cyrl,tgl_Latn,tha_Thai,tih_Latn,tir_Ethi,tlh_Latn,tob_Latn,toh_Latn,toi_Latn,toj_Latn,ton_Latn,top_Latn,tpi_Latn,tpm_Latn,tsn_Latn,tso_Latn,tsz_Latn,tuc_Latn,tui_Latn,tuk_Cyrl,tuk_Latn,tum_Latn,tur_Latn,twi_Latn,tyv_Cyrl,tzh_Latn,tzo_Latn,udm_Cyrl,uig_Arab,uig_Latn,ukr_Cyrl,urd_Arab,uzb_Cyrl,uzb_Latn,uzn_Cyrl,ven_Latn,vie_Latn,wal_Latn,war_Latn,wbm_Latn,wol_Latn,xav_Latn,xho_Latn,yan_Latn,yao_Latn,yap_Latn,yom_Latn,yor_Latn,yua_Latn,yue_Hani,zai_Latn,zho_Hani,zlm_Latn,zom_Latn,zsm_Latn,zul_Latn
Llama 2 7B,122.0995,137.4307,113.6648,177.8629,80.4326,130.3179,175.7496,98.4105,101.5392,93.4671,122.2292,107.4051,100.6027,175.2509,94.0266,141.0784,128.9709,80.5871,123.1571,149.9604,133.9984,97.6832,134.4912,109.6812,138.9837,114.486,132.0049,110.6627,117.4187,101.385,92.3022,125.5192,111.6809,124.9438,124.6439,126.4594,138.1589,113.1818,120.4879,111.9023,118.1274,66.2543,116.1573,115.7529,164.0683,169.4251,185.4182,128.1304,54.9282,103.501,124.1958,99.3654,62.404,138.0726,152.6839,128.3433,132.886,126.4712,63.6703,129.2599,128.5643,100.7193,125.8102,120.8504,156.0381,151.9472,110.3382,63.6525,57.0935,143.1857,113.4344,158.4388,122.2442,157.3702,121.7314,80.649,28.4001,45.4281,79.8325,93.4886,133.89,140.6873,101.9175,87.1881,110.2891,74.6643,68.4196,160.8022,46.011,111.6935,128.5417,125.2182,131.7471,151.9946,159.3267,102.8987,102.0879,122.9375,149.3535,156.6712,64.9069,193.748,139.0578,121.1815,143.4154,142.6028,130.2464,180.9328,112.2032,105.9533,91.4167,86.8526,104.7793,103.9285,87.351,102.0145,119.6397,124.7215,126.8798,116.665,62.5191,151.4584,69.1668,170.905,111.9351,102.3952,131.1577,140.5246,149.9303,132.8369,119.7227,66.3872,92.392,54.5697,150.6151,190.0738,167.2801,119.8513,134.1072,67.6702,136.1391,134.0207,137.8096,141.3261,120.899,128.5953,103.8097,129.4928,151.8291,161.7906,141.4768,122.8113,141.3349,110.7533,125.7371,152.3057,133.8388,137.8785,139.2289,120.5425,249.7747,66.5802,128.1751,123.4199,118.1531,108.7458,248.463,145.3368,118.0001,145.5071,163.1643,56.9808,90.6074,118.6128,131.7162,147.3196,113.8138,92.156,119.9269,114.6205,117.5936,118.3685,122.1749,62.0559,136.2592,113.9626,136.9237,111.1217,173.3519,105.8026,139.0552,160.7688,124.9552,110.9535,203.5874,164.7212,111.264,99.6791,131.7508,126.6007,122.4209,139.4086,129.278,85.2874,107.6552,108.5766,129.9712,196.2939,87.5651,127.3916,104.7067,159.303,146.9795,162.6168,148.9461,146.2755,130.8509,126.4665,167.0067,109.1413,155.0905,131.1429,106.5017,106.8329,132.1182,123.286,109.4688,148.7765,135.6015,58.8109,122.395,122.2551,80.3251,61.449,56.266,115.6278,116.8591,116.5528,112.2988,120.6662,153.0996,130.0107,148.2528,143.0195,140.2223,160.1985,123.4893,117.54,130.0714,110.0865,125.2188,76.8042,124.8311,91.6816,118.499,147.974,113.5154,240.9519,61.8763,123.3979,53.6891,118.661,88.2563,154.3037,133.8518,176.6636,124.1087,148.8253,104.7839,119.8434,126.183,134.0334,139.2741,136.2974,124.0493,71.7514,141.2385,144.2137,111.1089,57.0924,118.572,140.8339,120.1117,133.7748,147.4444,116.7052,133.7864,75.8903,75.6702,134.1704,113.6447,107.0245,141.0791,114.7986,120.9221,112.1418,49.6425,106.1651,172.3035,112.0588,57.1639,61.5328,120.4787,123.9243,141.0573,60.7782,97.9233,173.0417,109.6414,136.521,135.1156,202.4426,114.699,122.1801,115.6371,128.8589,74.7046,107.6907,129.9537,122.7523,87.5853,179.8959,127.5982,124.7473,175.5184,120.6147,165.1902,105.4689,120.5229,112.1326,125.2535,129.9619,187.9117,135.4061,127.2003,123.723,127.4901,76.9722,110.2079,165.8236,147.0588,166.4464,138.0005,166.5726,145.1066,68.4509,99.7434,128.4777,118.8282,136.0365,131.1847,74.4245,129.9899,111.2594,120.9589,115.6674,243.3509,112.9572,125.8095,143.6835,150.276,118.6114,129.7655,148.343,64.5745,121.9046,64.0192,57.8317,119.8577,60.4029,103.1951
Llama 2 7B Chat,139.1399,153.7717,124.8032,196.4496,96.4011,146.5109,232.5648,106.1971,114.9705,105.4165,143.7136,117.1946,118.6288,194.9627,119.2796,154.6312,165.0301,101.8383,152.4985,164.2413,158.4599,112.5345,157.6835,120.8342,152.8052,129.924,149.5553,119.5015,129.3359,113.2571,109.9638,141.4908,141.487,136.1623,138.1053,139.7173,167.8466,134.4766,131.2617,122.4305,131.5876,79.5545,127.4213,126.8323,183.2908,184.8176,205.6731,149.2842,66.4985,118.6093,141.4129,111.2719,75.5603,151.1284,176.2771,141.6559,159.4657,143.6604,80.0035,139.6886,148.7275,110.623,137.4555,131.2586,173.4322,165.4905,125.1733,76.8092,70.0977,156.6184,124.1642,171.3096,134.1174,187.8852,139.1136,102.1008,34.1934,53.2941,94.7373,106.0594,147.7793,158.3085,116.7002,107.5183,123.1389,86.6966,83.0035,182.9853,57.6589,124.6361,147.596,139.6941,150.9937,176.1186,190.8855,117.3369,117.3155,131.8673,162.8545,173.8642,83.6953,213.3826,154.0342,150.4096,162.4283,161.7137,151.6249,203.5242,125.2688,116.6359,103.1234,104.6511,119.9768,117.1071,107.1239,116.73,132.8725,143.351,142.6209,128.2304,75.945,168.1505,84.3189,189.0086,129.5795,113.4869,146.0626,151.9154,162.2032,150.6625,130.3742,80.3451,107.8571,67.2094,165.4434,215.9873,189.3386,129.0157,146.9508,83.1773,161.3678,146.8568,155.0139,155.4463,133.4492,155.4076,117.3302,149.1826,188.5625,181.2401,183.8733,138.2009,165.816,124.1654,144.2914,166.3508,158.0377,151.3069,164.6593,133.4241,285.5624,85.2297,146.4312,143.4483,129.0269,120.5854,287.3094,162.1223,132.6678,170.6629,188.0852,67.9671,105.286,133.8339,149.415,185.8429,127.5126,105.1552,135.8237,130.4071,131.2934,130.3151,133.155,72.3389,150.0698,127.8111,157.1811,126.4611,188.8652,125.6771,171.386,180.3784,144.9208,122.7311,257.4928,183.8105,123.7357,108.4574,150.0787,145.0638,141.2135,155.3836,140.814,102.3463,121.0617,123.5587,147.9619,217.6463,100.3855,139.0974,123.1117,181.3306,168.2213,191.1342,172.271,163.0075,149.293,147.321,190.2215,125.2234,171.6606,146.8195,122.3757,122.312,148.0992,135.9608,127.6924,163.9903,148.8394,72.3733,136.0022,142.869,94.4962,75.0435,69.0889,136.3028,135.4827,130.1831,125.7792,135.2095,179.4581,142.3295,179.3157,173.1803,170.7149,186.9014,134.2575,127.804,158.519,121.9487,137.5863,83.9117,138.2661,112.565,130.1201,164.1597,127.5531,270.1191,75.9117,133.5708,66.5361,130.6558,108.8802,173.8558,147.3069,194.8466,135.8815,164.6334,115.6737,133.2481,140.3382,146.8694,165.1613,155.0321,134.945,86.5298,154.4709,160.3403,125.4822,68.9002,129.5815,164.552,138.1294,152.9034,167.9868,133.8335,157.8015,91.2486,91.3762,147.1519,125.447,121.424,162.8701,126.2685,137.1512,124.2751,61.0458,120.2258,190.6822,121.1228,68.5117,75.2141,137.2255,136.4089,161.4991,75.5988,111.5493,193.9239,123.804,157.737,162.5613,230.6345,125.6506,148.1458,128.0776,151.077,86.3001,128.493,141.7627,141.4428,94.7066,203.4927,144.6934,142.5283,194.4582,135.7228,193.3948,118.0258,135.4861,124.1126,141.5177,145.0526,205.6089,147.1275,148.367,138.0959,148.3916,91.7553,119.3308,192.0876,162.4934,184.9889,158.7109,194.9695,163.0755,81.9132,127.6215,151.2791,133.526,160.6897,149.8675,88.033,148.2604,122.8786,132.8651,125.8076,277.836,127.497,138.7002,166.7879,163.2115,134.2437,148.4026,166.2741,81.029,133.9156,81.1029,69.4473,129.8097,73.3571,117.1858
CodeLlama 2 7B,123.9757,137.8837,111.2729,180.0307,94.8993,130.5078,185.9451,96.6459,95.9538,87.8103,122.0651,107.6826,115.2789,180.0877,106.0632,141.2816,131.4427,92.9124,123.9939,150.1223,132.7437,88.6008,133.0317,111.6369,141.9636,114.6011,133.0652,112.6673,117.9158,108.2567,86.9643,129.3658,107.4977,123.6959,125.0178,132.1041,137.3419,115.8685,119.0647,113.4366,120.5891,68.3301,115.606,123.2285,164.7324,171.2284,187.8011,129.9311,57.5341,106.2603,126.1124,113.0824,62.4874,139.6433,146.6072,129.3374,131.72,116.9431,64.8016,130.3579,123.63,103.4009,126.4507,121.3122,158.4051,152.2673,120.1456,67.6794,59.625,144.4298,113.7069,158.1681,124.4713,156.5999,124.7981,89.0935,37.6551,59.046,74.6093,85.9896,133.5485,141.0103,101.2388,85.642,111.5013,91.5931,78.6784,159.423,49.9105,109.286,123.7653,128.1661,133.3545,152.7245,155.983,117.289,119.8422,128.2637,151.22,159.4536,76.9,193.5218,139.4612,109.9357,143.9997,147.1138,129.3593,182.8316,117.8459,110.8536,103.8753,103.9394,109.7274,114.0524,93.8959,112.6269,120.5155,126.727,127.6046,116.9122,64.9309,153.2088,70.9525,173.2614,114.3277,105.1139,136.2341,142.6595,152.3589,132.8762,123.685,78.1884,90.6123,58.4799,149.0804,193.848,169.2668,125.8684,132.2126,75.8713,132.181,130.0842,137.1463,143.5519,122.8484,135.6207,104.6423,121.1457,157.2074,165.2234,146.4884,124.9539,146.2495,117.2063,117.0903,153.3335,132.3499,137.6106,137.8499,120.9938,254.9224,62.5176,129.9601,117.5885,122.9213,109.7531,256.2998,147.4761,120.0501,148.3399,152.7661,64.484,84.2662,120.1999,134.6161,153.1561,116.3284,85.5154,121.6993,111.4531,123.407,112.5231,122.9232,64.4761,137.6527,116.5238,138.6243,107.5451,175.2376,111.8992,140.3411,163.5609,127.3373,113.1493,198.4664,169.4639,111.9692,102.1806,133.7455,128.5344,121.0259,138.8949,130.7965,82.4838,105.3229,113.7767,131.7901,199.8602,98.4781,128.4559,114.2038,156.8965,148.5104,152.3595,138.3231,147.0183,128.1054,127.1059,171.6883,114.6437,156.8503,132.1386,114.7065,113.5007,135.0035,122.1469,115.927,150.2595,137.4882,61.9038,123.6253,124.3752,84.9464,68.9159,63.3781,122.6667,118.9937,120.7667,123.1148,123.2208,154.785,131.1081,146.9844,142.4805,138.6346,160.7621,127.0857,120.591,130.4266,113.8807,125.9574,84.8228,124.737,90.4319,125.4121,148.3376,111.1444,248.4285,63.585,124.3966,56.5932,118.9539,86.5881,153.5387,134.8247,179.5044,124.1914,148.7426,105.6436,120.1115,126.3389,133.6755,143.8348,143.4618,125.4241,75.2274,144.8708,146.4881,115.3527,59.6078,121.6098,140.8499,124.093,146.1846,147.5557,119.7544,142.5949,72.6203,77.8702,129.7939,118.4289,119.0649,147.6511,123.8215,123.5451,113.871,54.3601,101.8945,174.3412,112.1119,59.677,63.7431,125.4081,124.7406,140.3168,64.1834,104.9097,179.3323,106.9308,130.9836,134.0934,203.1799,118.8949,130.8829,115.7289,119.8166,91.5501,100.6685,131.126,140.6351,90.1991,179.8073,129.3624,126.489,173.5339,124.0552,165.6493,114.0787,122.0607,117.7474,128.0961,129.9368,189.973,138.2995,125.4937,114.3185,130.2042,75.911,108.5544,161.2061,149.1188,169.2856,135.028,141.5419,143.9946,71.2463,109.7146,115.6869,107.2962,122.4323,135.6237,75.5392,130.3782,117.2988,121.5858,114.8983,243.806,119.6946,128.3654,145.8387,150.6999,119.6211,126.8637,148.5424,65.736,122.8333,65.868,67.8417,119.9595,70.7544,110.6481
LLaMAX Llama 2 7B,117.3878,130.9465,121.649,181.8435,63.6052,141.0687,187.1401,91.5205,76.158,68.2249,111.3628,116.405,74.2179,188.2007,82.402,152.1666,128.8396,70.3428,91.3346,156.1374,127.7243,72.2609,105.042,111.6251,129.918,123.74,135.815,119.6935,126.2518,102.5612,57.8454,125.0313,87.3349,129.2554,134.4502,137.5964,182.3233,116.6889,128.5316,120.0815,125.4682,56.1391,121.7956,131.2036,174.871,176.0854,188.8029,139.3775,55.3486,110.7118,130.7857,69.8181,57.5168,139.2609,146.2163,134.9551,138.5926,90.5199,55.0524,124.6332,111.9471,83.4229,134.4966,128.8698,155.3074,160.6918,90.8025,57.9208,54.5435,150.7551,119.7571,167.5954,121.1684,208.0431,94.002,71.7511,37.1292,56.0513,54.8206,59.3238,117.9259,131.3232,82.7151,74.0423,108.9843,61.173,62.6749,167.6501,49.4344,99.2457,129.362,118.7171,143.5541,165.157,171.0536,96.4562,87.543,130.1528,159.955,166.8625,72.7422,201.5176,137.6597,89.1608,153.605,113.7956,139.65,190.7789,80.0587,77.2175,82.6166,84.3143,117.0582,77.3162,72.1646,111.7041,110.541,125.7692,114.054,124.1177,56.5702,159.8953,62.8909,179.8108,79.1586,110.1476,103.2164,150.2538,160.281,136.0604,116.0157,66.7343,55.9892,56.7417,163.5711,197.3549,172.019,133.3835,93.131,60.4389,104.4814,130.1034,142.7906,142.5704,120.8399,88.989,77.7346,78.6573,160.9091,167.4498,110.6968,133.9269,150.9858,95.1265,70.0466,160.0946,128.463,146.8181,145.2349,83.2914,258.8356,65.6377,130.2895,105.9596,128.4017,112.1879,304.9923,152.7725,115.9568,154.9716,145.6894,57.1794,54.9816,128.7425,132.8238,155.6951,87.045,56.461,114.9315,70.8243,99.7251,122.071,118.7909,70.3823,142.8092,121.3295,135.4604,74.5286,177.0334,70.2457,142.9036,172.6874,130.7183,121.1365,198.5805,166.4582,108.6756,85.6124,140.8107,125.1341,107.4193,148.6648,137.4549,59.6513,78.4205,80.2028,139.5523,199.5814,46.1491,138.6095,107.1762,170.636,155.9149,104.8156,157.0697,153.8069,143.7302,138.0338,175.4257,95.1448,161.3782,138.8018,99.6092,89.2619,119.7617,125.7635,77.1023,149.4055,140.8382,58.4401,132.0685,128.5538,72.2144,57.4002,45.8184,66.5491,121.1073,96.3615,85.0396,128.0602,161.3314,125.2167,112.9678,114.0971,140.4722,163.3628,129.7234,124.0017,99.8513,113.2563,134.3955,88.3483,126.3049,80.0636,130.6294,156.9899,81.4669,250.4394,57.7683,129.5285,54.4969,130.5025,75.8132,160.9464,137.1518,176.0276,125.5194,146.5688,111.9112,113.9666,120.1968,137.9808,145.4288,127.6531,132.1085,66.3546,145.1964,150.0038,98.7788,57.6464,108.41,124.4675,129.8576,149.735,162.0631,107.6058,145.527,57.444,73.359,140.9084,94.9697,76.7219,91.192,55.779,125.1939,90.7625,53.1197,85.0344,179.7447,119.4788,54.0674,56.717,111.3,104.5558,143.4828,59.7491,69.9857,184.2685,85.8325,98.3076,138.6222,217.9888,123.6535,91.2169,125.2229,76.8021,62.0553,80.1847,139.212,119.5458,96.9465,194.372,135.4802,119.5161,180.0752,100.8116,171.668,120.8329,130.4767,97.9199,117.3784,137.9076,194.2124,147.2841,122.6781,121.8274,104.3966,68.7065,102.9943,141.7348,150.0275,168.973,145.9385,160.5182,115.9053,61.1777,79.0145,88.0695,76.736,83.3136,132.6665,67.1751,128.4325,100.0076,132.4354,54.7168,260.5005,71.9786,134.87,150.5359,159.7895,121.5017,102.938,155.6562,50.3763,129.9482,57.8688,56.0632,128.2159,59.6388,56.6244
LLaMAX Llama 2 7B Alpaca,107.8057,121.3592,112.7422,173.0164,56.4093,129.976,178.7484,81.5433,66.7748,60.813,102.3377,107.8487,61.3296,178.4336,75.3032,143.1486,120.4782,61.6857,79.7129,147.9332,119.0444,61.2957,96.4944,101.1068,119.8505,115.9144,125.7412,110.0876,118.3559,92.9075,51.2488,114.4643,77.1067,120.6943,124.3779,128.7846,154.2668,109.22,120.6882,110.9545,115.8317,49.0369,112.9638,122.1448,165.8891,167.1786,180.5897,130.4162,48.3543,103.8627,119.5217,61.7559,49.435,130.3236,137.6289,126.2287,129.8867,78.9262,50.122,115.1125,103.6066,73.624,125.4458,119.691,148.0526,153.0063,82.0516,50.7243,48.3244,140.8808,111.6215,158.0653,111.3933,177.4389,83.9081,62.8871,33.016,50.1159,47.5697,50.0033,109.5232,122.143,75.9078,64.6636,97.242,53.1569,55.1178,157.466,42.4794,91.3738,119.6031,106.9632,132.6331,155.7253,160.3877,88.4277,79.5688,122.888,152.5623,156.9172,65.0497,191.3098,129.373,68.9393,142.7905,100.4198,129.9305,181.0027,70.8975,66.3117,72.3816,75.2751,107.2404,68.6777,63.7681,102.8852,102.111,116.7652,103.4909,115.8633,48.5289,151.2672,55.4866,170.986,69.0093,100.9534,92.9281,141.1644,151.5525,124.0961,106.0362,58.9794,49.0192,49.9851,155.1841,187.859,159.8139,124.199,83.383,55.068,96.1013,120.1769,133.3645,133.6799,112.0588,73.8365,67.5717,70.9609,151.4832,158.9078,89.864,123.9058,141.243,83.9815,61.0606,151.5554,119.8861,137.9702,137.2806,73.8741,247.576,57.3878,122.198,96.8288,118.5687,102.674,290.0362,139.6879,106.5312,143.7216,112.2196,49.9927,46.8322,118.7898,122.0021,147.6159,77.5472,49.1036,104.1568,62.9554,88.832,113.1487,108.9585,61.8649,132.8641,112.2447,125.8939,64.8402,169.5007,61.8551,136.908,162.4114,120.083,111.2998,188.9569,155.6535,100.1995,76.6158,130.716,114.8125,97.883,138.3925,129.1392,52.4139,68.0423,70.0319,129.9251,190.2727,39.6161,127.528,98.4062,159.1906,145.0981,90.3768,149.6985,145.1882,135.259,129.489,166.4964,85.0699,152.9928,130.2646,89.9105,80.9322,109.3273,118.2691,69.8508,141.094,132.3367,51.1966,122.858,117.9367,64.9905,50.1644,39.1457,58.6305,111.2243,83.9144,75.3869,117.3706,151.5648,115.5372,85.6491,88.492,131.5946,154.3497,120.6569,114.1974,79.7621,104.2319,125.1265,80.8793,118.6604,70.2136,122.639,148.4674,71.9102,242.1195,49.9619,120.9812,48.0364,121.8744,65.7231,151.6699,129.0772,168.018,117.4007,137.9312,103.8159,105.9802,111.1028,129.7579,134.8613,117.8165,123.3318,58.9703,136.1772,140.4611,88.0651,50.6706,98.7626,114.5332,120.7632,140.4602,150.912,97.2944,119.4476,48.6771,64.6303,132.2414,84.2722,66.3233,79.1782,46.4279,115.7112,80.1492,46.5381,76.9071,170.7811,110.1739,46.0192,48.0658,102.0014,94.5218,133.4347,52.8702,61.2694,173.2508,73.6886,90.3784,130.5746,203.5487,114.6694,74.6826,115.961,66.5526,55.1881,69.9356,128.972,106.8714,90.5697,184.9425,124.0476,109.8896,171.2787,90.3425,164.4518,111.5279,120.083,88.354,106.024,128.8562,184.9058,137.1954,115.2794,112.5691,93.088,59.5956,93.0148,131.8116,141.5968,161.1276,137.5526,148.4884,106.1403,55.0561,69.9176,71.9196,67.4143,72.1442,122.3197,59.8472,118.7992,90.6273,123.6808,41.29,250.9078,64.2451,125.7511,139.1965,150.2013,112.5162,93.1314,146.9858,44.1227,120.4505,52.3135,48.288,118.9211,51.4361,47.7822
MaLA-500 Llama 2 10B v1,103.1982,99.9392,102.7549,117.1895,94.2029,97.3595,112.1144,82.7242,82.5919,77.8707,90.4307,102.1705,97.733,115.4338,108.4454,113.2701,106.5659,94.9921,104.1426,106.8668,95.3895,94.5453,95.7927,92.2037,120.0236,113.879,98.2953,96.3664,124.3578,87.6134,88.5718,109.2333,108.8894,106.85,98.1017,97.9681,107.1466,91.7728,110.6728,88.5806,103.4899,86.8212,102.8051,94.8464,126.1082,118.792,125.4308,94.3729,78.5114,94.73,106.1564,92.5259,88.2607,104.2275,125.6969,99.5856,94.5481,99.4731,79.3769,105.515,87.1333,80.4028,102.7166,92.9671,114.2143,118.668,107.4311,87.3326,83.9707,118.4776,92.1238,113.0685,105.6208,99.3114,92.6508,109.4621,48.9971,59.2253,85.3721,99.3427,151.6031,105.9898,94.9764,80.72,100.0179,85.9733,95.146,113.6665,73.664,102.4605,102.1012,111.2236,98.0124,115.5425,117.2078,101.337,118.6709,97.6631,131.1731,117.361,86.8014,141.0251,115.5863,112.55,109.4831,97.3869,98.5518,137.5351,95.1633,99.6586,95.1481,140.4865,107.1091,91.8499,102.5188,111.9122,90.6448,93.0076,93.7801,95.0346,73.4997,111.2818,98.1412,123.9265,90.3521,89.4766,118.8013,104.909,108.9839,92.9083,101.6582,87.2838,96.6767,81.0665,100.2959,122.797,121.0231,96.0268,113.3348,91.7896,87.9968,99.0476,118.2151,109.4646,111.2878,113.6103,93.4188,110.295,108.5348,111.3084,103.537,98.8593,104.5385,97.9349,94.0926,112.3934,98.2541,104.6781,104.036,100.2022,137.226,82.6807,94.693,92.3076,100.294,88.3134,170.3157,93.894,100.2862,114.4171,118.4962,74.6602,92.0561,113.5061,104.3755,98.4753,94.6816,99.9899,101.1708,101.467,106.2933,110.3957,103.3136,67.5307,104.3581,95.9662,99.3709,109.611,141.7422,110.5898,141.7664,104.9882,100.425,94.8622,159.4364,93.7187,92.7027,82.5639,121.2114,110.62,96.9466,133.5734,107.0313,88.6233,89.4336,111.4576,109.4066,130.778,95.1328,101.9428,120.0293,101.6526,127.474,112.4253,110.1091,104.5411,119.3993,104.132,118.9465,99.5962,140.6874,129.198,108.8917,102.6941,107.5941,128.1789,102.5486,122.9902,108.7123,84.8641,96.6859,99.4959,85.5592,79.6257,72.1101,97.5932,110.0665,98.6401,102.2151,106.334,119.4843,102.8724,100.9095,108.8037,97.9183,122.0506,110.0557,107.1094,108.807,93.8204,106.1189,80.5437,98.6398,84.9056,96.0096,105.8989,91.6322,141.1445,89.5807,108.4069,79.4888,90.7109,82.6891,105.207,99.6641,124.1207,96.9992,109.6644,91.6698,96.9306,101.0576,103.3917,104.5016,130.3178,111.4179,93.2734,91.7868,104.1811,99.4606,78.9726,102.5044,101.7635,123.66,115.57,99.3429,104.5336,120.225,92.7308,92.6124,107.5776,101.3682,100.2664,112.1541,114.7123,115.9785,97.5706,74.0088,90.3476,130.0252,93.3556,70.5845,70.824,105.8186,117.2256,88.6034,87.0041,92.9535,125.0972,103.7363,97.7688,88.8114,116.0372,92.3164,119.5738,101.6176,100.5463,87.0482,103.9018,95.5238,98.9247,64.1631,113.4188,105.5169,114.6202,151.6723,104.196,161.2412,88.1654,93.3685,99.0775,102.0185,111.7395,113.8619,107.1415,96.7067,98.1905,106.654,101.1704,97.0819,111.217,118.8271,124.3667,104.8178,118.0738,112.7016,94.5,111.2447,88.2133,95.7887,95.038,105.9142,97.254,105.2302,112.3875,91.4833,103.7674,143.1127,111.51,99.9192,118.3858,121.3651,109.1547,112.4461,117.9891,92.6928,110.2495,75.1326,70.9032,98.6195,75.3786,100.5987
