Shan (shn) | shn_Mymr
Shona (sn) | sna_Latn
Sicilian (scn) | scn_Latn
Silesian (szl) | szl_Latn
Sindhi (sd) | snd_Arab
Sinhala (si) | sin_Sinh
Slovak (sk) | slk_Latn
Slovenian (sl) | slv_Latn
Somali (so) | som_Latn
Spanish (es) | spa_Latn
Sundanese (su) | sun_Latn
Susu (sus) | sus_Latn
Swahili (sw) | swa_Latn
Swati (ss) | ssw_Latn
Swedish (sv) | swe_Latn
Tahitian (ty) | tah_Latn
Tajik (tg) | tgk_Cyrl
Tamazight (ber-Latn) | ber_Latn
Tamazight (Tifinagh) (ber) | ber_Tfng
Tamil (ta) | tam_Taml
Tatar (tt) | tat_Cyrl
Telugu (te) | tel_Telu
Tetum (tet) | tet_Latn
Thai (th) | tha_Thai
Tibetan (bo) | bod_Tibt
Tigrinya (ti) | tir_Ethi
Tiv (tiv) | tiv_Latn
Tok Pisin (tpi) | tpi_Latn
Tongan (to) | ton_Latn
Tsonga (ts) | tso_Latn
Tswana (tn) | tsn_Latn
Tulu (tcy) | tcy_Knda
Tumbuka (tum) | tum_Latn
Turkish (tr) | tur_Latn
Turkmen (tk) | tuk_Latn
Tuvan (tyv) | tyv_Cyrl
Twi (ak) | aka_Latn
Udmurt (udm) | udm_Cyrl
Ukrainian (uk) | ukr_Cyrl
Urdu (ur) | urd_Arab
Uyghur (ug) | uig_Arab
Uzbek (uz) | uzb_Latn
Venda (ve) | ven_Latn
Venetian (vec) | vec_Latn
Vietnamese (vi) | vie_Latn
Waray (war) | war_Latn
Welsh (cy) | cym_Latn
Wolof (wo) | wol_Latn
Xhosa (xh) | xho_Latn
Yakut (sah) | sah_Cyrl
Yiddish (yi) | yid_Hebr
Yoruba (yo) | yor_Latn
Yucatec Maya (yua) | yua_Latn
Zapotec (zap) | zap_Latn
Zulu (zu) | zul_Latn
Hebrew (he) | heb_Hebr
Javanese (jv) | jav_Latn
